state,x,y
Andhra Pradesh,-89,-152
Arunachal Pradesh,218,120
Assam,201,81
Bihar,62,71
Chhattisgarh,-10,-23
Goa,-165,-148
Gujarat,-221,6
Haryana,-123,147
Himachal Pradesh,-103,208
Jammu and Kashmir ,-155,296
Jharkhand,45,25
Karnataka,-137,-158
Kerala,-121,-246
Madhya Pradesh,-101,20
Maharashtra,-156,-64
Manipur,220,45
Meghalaya,168,63
Mizoram,200,19
Nagaland,232,76
Odisha,38,-30
Punjab,-138,185
Rajasthan,-212,94
Sikkim,114,110
Tamil Nadu,-85,-234
Telangana,-77,-93
Tripura,173,24
Uttar Pradesh,-54,103
Uttarakhand,-73,172
West Bengal,95,11
Andaman and Nicobar Islands,-201,202
Chandigarh,-117,177
Dadra and Nagar Haveli,-184,-47
Daman and Diu,-188,-43
Lakshadweep,-195,-245
Delhi,-105,133
Puducherry,-55,-218
